timestamp:UTC,Date and Time: PST,duration (hours),note,Category,Label,Editor Note
4/18/19 11:32,4/18/19 4:32,0,Apply Patches,Preset,Apply Patches,
4/18/19 11:55,4/18/19 4:55,0,Repositioned chest patch,Preset,Apply Patches,Dropout Expected
4/18/19 14:27,4/18/19 7:27,0,Remove Patches,Preset,Remove Patches,Dropout Expected
4/18/19 16:50,4/18/19 9:50,0,"Checked abdomen patch and Idle, restarted sampling",Preset,Apply Patches,Dropout Expected
4/18/19 20:14,4/18/19 13:14,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/18/19 20:19,4/18/19 13:19,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,
4/18/19 20:26,4/18/19 13:26,0,END CUFF,Cuff Modulation,End Cuff,
4/18/19 20:27,4/18/19 13:27,0,Cuff inflation at 250 mmHg for 60 sec,Cuff Modulation,Inflate Cuff,check for begin cuff
4/18/19 23:01,4/18/19 16:01,0,Walking,Activity,Walking,
4/18/19 23:33,4/18/19 16:33,0,End walking,Activity,End Walking,
4/19/19 0:24,4/18/19 17:24,0,Walking,Activity,Walking,
4/19/19 0:32,4/18/19 17:32,0,Stop walking,Activity,End Walking,
4/19/19 2:57,4/18/19 19:57,0,Sleep,Sleep,Sleep,
4/19/19 10:43,4/19/19 3:43,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/19/19 10:49,4/19/19 3:49,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,
4/19/19 10:49,4/19/19 3:49,0,Cuff inflation at 200 mmHg for 60 sec,Cuff Modulation,Inflate Cuff,check for duplicate
4/19/19 10:51,4/19/19 3:51,0,Cuff inflation at 200 mmHg for 60 sec,Cuff Modulation,Inflate Cuff,check for duplicate
4/19/19 10:55,4/19/19 3:55,0,END CUFF,Cuff Modulation,End Cuff,
4/19/19 10:59,4/19/19 3:59,0,Exercise,Activity,Walking,
4/19/19 11:08,4/19/19 4:08,0,End Exercise,Activity,End Walking,
4/19/19 11:23,4/19/19 4:23,0,Remove Patches,Preset,Remove Patches,Dropout Expected
4/19/19 12:40,4/19/19 5:40,0,Apply Patches,Preset,Apply Patches,
4/19/19 17:17,4/19/19 10:17,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/19/19 17:22,4/19/19 10:22,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,check for duplicate
4/19/19 17:22,4/19/19 10:22,0,Cuff inflation at 180 mmHg for 30 sec,Cuff Modulation,Inflate Cuff,check for duplicate
4/19/19 17:28,4/19/19 10:28,0,END CUFF,Cuff Modulation,End Cuff,
4/19/19 19:32,4/19/19 12:32,0,Pulled on abdomen patch - itching- popped out of adhesive,Preset,Remove Patches,Dropout Expected - 1
4/20/19 1:09,4/19/19 18:09,0,Sleep,Sleep,Sleep,
4/20/19 10:47,4/20/19 3:47,0,End Sleep,Sleep,End Sleep,
4/20/19 11:03,4/20/19 4:03,0,Remove Patches,Preset,Remove Patches,Dropout Expected
4/20/19 12:13,4/20/19 5:13,0,Apply Patches,Preset,Apply Patches,
4/20/19 15:58,4/20/19 8:58,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/20/19 16:05,4/20/19 9:05,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,220 mmHG x 60 s
4/20/19 16:12,4/20/19 9:12,0,END CUFF,Cuff Modulation,End Cuff,
4/20/19 16:14,4/20/19 9:14,0,Reposition abdomen patch,Preset,Remove Patches,Dropout Expected - 1
4/20/19 19:46,4/20/19 12:46,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/20/19 19:52,4/20/19 12:52,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,180 mmHG x 60 s
4/20/19 19:59,4/20/19 12:59,0,END CUFF,Cuff Modulation,End Cuff,
4/20/19 20:01,4/20/19 13:01,0,Walking,Activity,Walking,
4/20/19 21:00,4/20/19 14:00,0,Stop walking,Activity,End Walking,
4/20/19 21:37,4/20/19 14:37,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/20/19 21:43,4/20/19 14:43,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,250 mmHG x 60 s
4/20/19 21:49,4/20/19 14:49,0,END CUFF,Cuff Modulation,End Cuff,
4/20/19 22:46,4/20/19 15:46,0,Exercise,Activity,Exercise,
4/20/19 23:18,4/20/19 16:18,0,End Exercise,Activity,End Exercise,
4/21/19 0:02,4/20/19 17:02,0,Sleep,Sleep,Sleep,
4/21/19 10:34,4/21/19 3:34,0,End Sleep,Sleep,End Sleep,
4/21/19 11:45,4/21/19 4:45,0,Remove Patches,Preset,Remove Patches,Dropout Expected
4/21/19 12:55,4/21/19 5:55,0,Apply Patches,Preset,Apply Patches,
4/21/19 13:54,4/21/19 6:54,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/21/19 13:59,4/21/19 6:59,0,Cuff inflation at 250 mmHg for 60 sec,Cuff Modulation,Inflate Cuff,
4/21/19 13:59,4/21/19 6:59,0,INFLATE CUFF annotation error- did not apply initially so added approx at time,Cuff Modulation,Inflate Cuff,check
4/21/19 13:59,4/21/19 6:59,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,
4/21/19 14:06,4/21/19 7:06,0,END CUFF,Cuff Modulation,End Cuff,
4/21/19 17:11,4/21/19 10:11,0,Noticed abdomen patch not recording turned sampling back on,Preset,Remove Patches,Dropout Expected - 1
4/21/19 20:49,4/21/19 13:49,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/21/19 20:54,4/21/19 13:54,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,250 mmHG x 60 s
4/21/19 21:01,4/21/19 14:01,0,END CUFF,Cuff Modulation,End Cuff,
4/21/19 21:49,4/21/19 14:49,0,Walking in sunshine,Activity,Walking,Outside
4/21/19 22:18,4/21/19 15:18,0,End walking,Activity,End Walking,Outside
4/22/19 1:10,4/21/19 18:10,0,Detached abdomen patch- pulled on because itching,Preset,Remove Patches,Dropout Expected - 1
4/22/19 1:20,4/21/19 18:20,0,Sleep,Sleep,Sleep,
4/22/19 9:08,4/22/19 2:08,0,End Sleep,Sleep,End Sleep,
4/22/19 10:08,4/22/19 3:08,0,BEGIN CUFF,Cuff Modulation,Begin Cuff,
4/22/19 10:14,4/22/19 3:14,0,INFLATE CUFF,Cuff Modulation,Inflate Cuff,250 mmHG x 60 s
4/22/19 10:21,4/22/19 3:21,0,END CUFF,Cuff Modulation,End Cuff,
4/22/19 11:21,4/22/19 4:21,0,Remove Patches,Preset,Remove Patches,Dropout Expected
4/22/19 12:36,4/22/19 5:36,2.530556,Apply Patches,Preset,Apply Patches,
4/22/19 12:37,4/22/19 5:37,0,Only applied arm and leg patches- allowing chest and abdomen skin to recover more,Preset,Remove Patches,Dropout Expected - 2
4/22/19 13:36,4/22/19 6:36,0,Apply Patches,Preset,Apply Patches,
